sample	1:Del:C:0	1:Del:C:1	1:Del:C:2	1:Del:C:3	1:Del:C:4	1:Del:C:5	1:Del:T:0	1:Del:T:1	1:Del:T:2	1:Del:T:3	1:Del:T:4	1:Del:T:5	1:Ins:C:0	1:Ins:C:1	1:Ins:C:2	1:Ins:C:3	1:Ins:C:4	1:Ins:C:5	1:Ins:T:0	1:Ins:T:1	1:Ins:T:2	1:Ins:T:3	1:Ins:T:4	1:Ins:T:5	2:Del:R:0	2:Del:R:1	2:Del:R:2	2:Del:R:3	2:Del:R:4	2:Del:R:5	3:Del:R:0	3:Del:R:1	3:Del:R:2	3:Del:R:3	3:Del:R:4	3:Del:R:5	4:Del:R:0	4:Del:R:1	4:Del:R:2	4:Del:R:3	4:Del:R:4	4:Del:R:5	5:Del:R:0	5:Del:R:1	5:Del:R:2	5:Del:R:3	5:Del:R:4	5:Del:R:5	2:Ins:R:0	2:Ins:R:1	2:Ins:R:2	2:Ins:R:3	2:Ins:R:4	2:Ins:R:5	3:Ins:R:0	3:Ins:R:1	3:Ins:R:2	3:Ins:R:3	3:Ins:R:4	3:Ins:R:5	4:Ins:R:0	4:Ins:R:1	4:Ins:R:2	4:Ins:R:3	4:Ins:R:4	4:Ins:R:5	5:Ins:R:0	5:Ins:R:1	5:Ins:R:2	5:Ins:R:3	5:Ins:R:4	5:Ins:R:5	2:Del:M:1	3:Del:M:1	3:Del:M:2	4:Del:M:1	4:Del:M:2	4:Del:M:3	5:Del:M:1	5:Del:M:2	5:Del:M:3	5:Del:M:4	5:Del:M:5
sample_041_PC	0	3	13	157	140	177	0	18	13	22	34	226	0	165	44	13	7	1	0	125	27	7	1	3	18	0	0	0	1	12	10	0	1	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	12	4	3	1	0	0	1	0	0	0
sample_042_PC	0	0	1	1	3	12	0	1	0	0	4	6	0	5	0	1	0	0	0	7	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
sample_043_PC	0	2	4	5	19	35	0	2	0	8	12	51	0	27	11	6	0	2	0	31	2	2	0	0	7	0	1	0	0	1	4	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	1	0	0	0	1	0	0	0
sample_044_PC	0	8	4	15	62	108	0	14	10	22	41	216	0	70	20	3	2	2	2	50	11	4	3	4	16	0	0	0	0	0	14	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	6	1	2	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	7	8	5	7	2	0	1	1	1	1	0
sample_045_PC	0	5	4	19	49	141	0	4	0	12	21	198	1	51	13	3	0	0	0	39	11	1	0	3	36	0	1	1	0	3	9	3	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	6	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	6	2	1	0	0	1	0	0	0	0
sample_046_PC	0	3	3	10	55	134	0	2	3	6	36	156	1	47	13	7	1	2	0	35	9	2	2	1	7	0	0	1	1	1	5	0	2	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	4	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	3	4	0	0	0	1	1	0	0	0
sample_047_PC	0	1	1	4	17	40	0	2	0	5	10	31	0	16	5	1	1	0	0	12	1	1	0	0	5	0	0	0	0	0	4	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	1	0	0	0	0
sample_048_PC	0	1	3	10	19	31	0	2	0	4	10	24	0	17	2	1	0	0	0	21	4	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	1	0	0	0	0
sample_049_PC	0	3	5	14	49	106	0	3	4	9	15	132	0	40	9	1	1	0	0	35	7	1	0	0	19	0	1	1	0	6	9	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	9	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	4	2	0	0	0	0	0	0	0
sample_050_PC	0	2	3	11	39	92	0	5	3	9	25	180	1	47	14	2	1	0	0	38	10	1	0	0	20	0	0	1	1	6	7	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	6	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	13	4	4	0	0	0	0	1	0	0
sample_051_PC	0	1	1	4	18	24	0	3	2	5	14	43	0	9	6	2	0	1	0	16	4	1	1	0	4	1	0	0	0	1	4	2	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	1	1	0	0	0	0	0	0	0
sample_052_PC	0	3	1	0	15	30	0	1	1	3	14	66	0	16	7	2	0	1	0	13	5	1	1	0	9	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	3	2	0	0	0	0	0	0	0
sample_053_PC	0	6	5	16	56	102	0	5	2	4	15	138	0	54	21	4	2	0	0	39	9	3	0	2	23	0	1	0	0	9	4	1	0	2	0	0	4	0	0	0	0	0	4	0	0	0	0	0	5	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	12	5	1	1	0	1	3	0	0	0
sample_054_PC	0	1	0	0	1	5	0	1	0	0	0	6	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample_055_PC	0	1	0	0	1	7	0	1	0	0	2	16	0	2	1	0	0	0	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
